ID	Content	A	B	C	D
878	"Although we have a large number of students, each one receives __  attention."	individual	only	alone	single
879	We  negotiated with the unions for several hours but weren't able to __ at an  agreement.	agree	abide	angle	arrive
880	"The  missing climber, who had not been seen or heard of for two days, appeared at the  mountain hut __ and kicking."	hale	safe	alive	strong
881	Susan had had a special __ with her aunt  ever since her mother died.	affection	sense	relationship	feeling
882	The child was so noisy that his mother told him not to be  such a __.	nuisance	trouble	bother	worry
883	I took  __ tennis again at the beginning of this year.	on	with	by	up
884	"Would you __ the stamps on  to the envelope for me, please?"	lick	suck	stick	spit
885	The robber  __ everyone in the bank lie on the floor before he escaped with the money.	made	demanded	obliged	forced
886	There are __  people who always cause trouble.	these	some	any	that
887	I am late  because my alarm clock never __ this morning.	came on	rang  out	went off	turned on
888	"In spite of her protests,  her father __ her train for the race three hours a day."	let	made	insisted	caused
889	"Eustace was standing  __ of the diving board, showing off his physique."	on the end	by the  end	to the end	in the end
890	- Stewart: Let's go and  have lunch. - Herbert: I mustn't stop __ on this for another ten minutes.	to be  working	to work	to have work	working
891	Would  you mind if I __ the window?	were opening	was open	opened	did open
892	"It was wrong of you to talk to her like that  - the next time you see her, you __ apologize."	need	ought to	dare to	may
893	"If he's  not back __ midnight, I'm going to phone the police."	until	by	on	till
894	He __ his  wife and children and left them to take care of themselves.	abandoned	let	missed	spoilt
895	Henry  __ on complaining to the manager in person.	demanded	commanded	insisted	argued
896	Trevor  has a great __ for Capri because he spent his honeymoon there.	connection	feeling	affection	relationship
897	"Like Micawber, I hope __ something better."	in	to	at	for
898	I would go to Cracow  if I __ time to do it.	have	had	would have	will  have
899	Of course I'll play the piano at the party but I'm a little  __.	out of use	out of reach	out of  turn	out of practice
900	The coal is mined day __ night  by a system of shift work.	through	into	after	and
901	He had to leave his family __ when he went  abroad to work.	at a loss	behind	out	at all costs
902	The  author had qualified as a doctor but later gave up the __ of medicine for  full-time writing.	practice	treatment	procedure	prescription
903	It was __ we had to walk quickly to keep warm.	cold	fresh	frozen	mild
904	His first novel was  much more exciting __ any he has written since.	to	as	so	than
905	"Oh, I forgot to tell you. I am  having a party on Friday - __?"	will you  come	do you come	don't you come	shall you come
906	"He __ his head, wondering how he could solve the problem."	scratched	scraped	screwed	shaved
907	He swatted a fly on the  window and __ the glass.	slashed	smashed	cut	crashed
908	Jean  received a letter this morning __ her a place at university.	inviting	offering	suggesting	proposing
909	They've spent so much  money that they're __ debt.	with	out of	in	of
910	"__ you  open the window, please?"	May	Need	Shall	Will
911	Will you  please __ what you just said. It was very rude.	take  up	take back	take off	take down
912	Stick this __ on the parcel that says 'Fragile'. Then people will see that  they must handle it carefully.	advertisement	advice	label	sign
913	He __ that the people he works with are  all very interested in their jobs.	tells	says	speaks	talks
914	"When I learned to ski, I practised on a slope that was not  too __."	high	steep	rising	tall
915	The  trade __ of the company is a flying horse.	brand	class	mark	model
916	You will not  succeed __ working harder.	unless	if	without	although
917	She'll never part __ her precious  possessions.	from	with	off	to
918	I am  grateful __ you for being so patient with him.	to	for	by	at
919	We have to work hard  for our money while the fat __ in the City make money doing very little.	cats	pack	market	fish
920	Youngsters need all the help and __ they can get nowadays when applying  for jobs.	encouragement	enticement	incentive	stimulation
921	"I'm sorry, I haven't got __ change. Why  don't you try the bank?"	some	lots	any	all
922	Ford is one  of the most popular __ of car in Britain.	makes	marks	models	brands
923	I must __ shopping  tomorrow as we have no food in the house.	to go	go	going	gone
924	I can't see any easy __  to this rather complicated problem.	result	solution	reason	release
925	The other day I came  __ a really beautiful old house in the back streets of Birmingham.	across	over	by	down
926	I can't find my handbag  anywhere; it has simply __.	lost	vanished	missed	fallen
927	Scientists have discovered a close __ between smoking and several serious  diseases.	action	connection	union	combination
928	She came in quietly __ not to wake the baby.	as  if	so as	such as	if so
929	He decided to  __ a party to celebrate his birthday.	make	provide	offer	give
930	I have absolutely no doubt  __ the innocence of the accused.	about	over	on	with
931	Everybody __  me for the accident.	accused	arrested	blamed	charged
932	Tommorow they are going to see the works __ Van  Gogh.	from	off	of	with
933	I  consulted my lawyer __ the matter and I shall act on his advice.	in	on	for	to
934	I'm afraid he didn't  enjoy __ at his aunt's house.	staying	to stay	stays	stayed
935	There are  __ when I have to work very hard.	times	at times	from time to time	a long  time
936	"Peter, __ by the repeated rejections of his novel,  __ to submit his manuscrip to other publishers."	encouraged...declined	elated... planned	undaunted...continued	inspired...complied
937	"When she  heard the bad news, she hit the __."	roof	earful	head	bend
938	"It has been  __ that environment is the __ factor in the incidence of drug  addiction, but recent studies with twins separated at birth indicate that a  predisposition to addiction can be inherited."	proved...crucial	demonstrated...conclusive	suggested...  predominant	argued...logical
939	If the phone  __ she would rush to answer it.	rings	had rung	has rung	rang
940	The  three friends all __ for the same job.	requested	applied	intended	referred
941	"My phones is out of order, which is a __."	hurt	harm	trouble	nuisance
942	The organizers  decided to go ahead with the match __ the bad weather.	in spite	although	unless	despite
943	He kept his job __  the manager had threatened to sack him.	despite	unless	even	although
944	It takes most people three  or four days to __ from flu.	cure	prevent	recover	get over
945	The  house has been left empty for a long time; it will be expensive to __ the  damage that has been done.	fix	mend	improve	repair
946	We were  __ by the noise in the forest.	afraid	frightened	feared	nervous
947	"No thanks, I won't have  another chocolate: I'm trying to __ weight."	rid	drop	lose	throw
948	Is there __ at all I  can do to help?	everything	someone	no one	anything
949	I'm  afraid I can't repair the car: we'll have to wait until the mechanic __.	will  come	may come	is coming	comes
950	"__  you do better work than this, you won't pass the exam."	Although	If	Unless	When
951	My  parents got up very early this morning __ pack the car for our journey.	so  that	in order to	because	in case
952	"""I  __ that a shame!"" she said, when she heard that Alex had been sacked."	'll  call	call	'm calling	called
953	The  deer __ for the shelter of the forest when there are people about.	go	get	make	take
954	Everybody is very  anxious about the __ of the negotiations.	outbreak	outcome	output	outlook
955	We  have been corresponding __ each other for years.	to	with	at	by
956	"When he was  questioned about the missing ring, he firmly __ that he had ever seen it."	defied	accused	refused	denied
957	Have  you ever been introduced to __?	the  royalty	royalty	royalties	the royalties
958	She's rung __ I must have said something to upset her.	up	round	back	off
959	The police set a  __ to catch the thieves.	plan	device	snare	trap
960	The rise in the house prices __ him to seel his house  for a large profit.	achieved	managed	facilitated	enabled
961	He enjoyed the dessert so much that he accepted a  second __ when it was offered.	load	pile	helping	sharing
